n_samples,n_features,corr_level,constraints,simulation,method,train_rmse,test_rmse,train_r2,test_r2,coef_rmse,coef_mae,run_time,coef_0,coef_1,coef_2,coef_3,true_coef_0,true_coef_1,true_coef_2,true_coef_3,error,sign_correct,true_coef_abs_error
10,4,0.7,none,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.7,none,0,ConstrainedElasticNetRegression,0.6509407810180832,0.7315390793171055,0.9621483320189106,,0.30506658198522,0.28016592711336075,1.208688735961914,3.318631417707161,-5.245828153766022,4.136559892497072,-2.858711424140432,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,correct,0,OLS,0.6509407806749291,0.7315194391054334,0.9621483320588189,,0.30508659047700815,0.28018144335795125,0.006293773651123047,3.318652345816792,-5.245861233421742,4.136585977887945,-2.8587294523182942,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,correct,0,Ridge,0.6509407806749291,0.7315194391054334,0.9621483320588189,,0.30508659047700815,0.28018144335795125,0.007002592086791992,3.318652345816792,-5.245861233421742,4.136585977887945,-2.8587294523182942,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,correct,0,Lasso,0.6509407806749291,0.7315194391054334,0.9621483320588189,,0.30508659047700815,0.28018144335795125,0.0050394535064697266,3.318652345816792,-5.245861233421742,4.136585977887945,-2.8587294523182942,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,correct,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
10,4,0.7,correct,0,ConstrainedRegression,0.6509407806749296,0.7315194391054369,0.9621483320588188,,0.3050865904770104,0.28018144335795314,0.010016918182373047,3.3186523458167905,-5.245861233421746,4.13658597788795,-2.8587294523182942,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.7,correct,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.7,correct,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.7,correct,0,ConstrainedElasticNetRegression,0.6509407810180832,0.7315390793171055,0.9621483320189106,,0.30506658198522,0.28016592711336075,1.0866482257843018,3.318631417707161,-5.245828153766022,4.136559892497072,-2.858711424140432,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,none,0,OLS,0.6509407806749287,0.7315194391054289,0.9233120509354398,,0.5251202588781153,0.4535755604844497,0.0070497989654541016,2.6609974455516787,-4.645655526719647,4.7393688389547695,-3.4176539922662275,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,none,0,Ridge,0.6509407806749287,0.7315194391054289,0.9233120509354398,,0.5251202588781153,0.4535755604844497,0.0029926300048828125,2.6609974455516787,-4.645655526719647,4.7393688389547695,-3.4176539922662275,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,none,0,Lasso,0.6509407806749287,0.7315194391054289,0.9233120509354398,,0.5251202588781153,0.4535755604844497,0.003998517990112305,2.6609974455516787,-4.645655526719647,4.7393688389547695,-3.4176539922662275,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,none,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
10,4,0.9,none,0,ConstrainedRegression,0.6509407806749284,0.7315194391054369,0.9233120509354399,,0.525120258878116,0.45357556048445236,0.008033037185668945,2.6609974455516694,-4.64565552671964,4.739368838954767,-3.4176539922662243,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,none,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.9,none,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.9,none,0,ConstrainedElasticNetRegression,0.6509407813231068,0.7315348551700973,0.9233120507827148,,0.525098757323764,0.45357298775225896,1.2505218982696533,2.6609652368774346,-4.645599300290362,4.739311478434259,-3.4176126267544458,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,correct,0,OLS,0.6509407806749287,0.7315194391054289,0.9233120509354398,,0.5251202588781153,0.4535755604844497,0.0038099288940429688,2.6609974455516787,-4.645655526719647,4.7393688389547695,-3.4176539922662275,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,correct,0,Ridge,0.6509407806749287,0.7315194391054289,0.9233120509354398,,0.5251202588781153,0.4535755604844497,0.0035552978515625,2.6609974455516787,-4.645655526719647,4.7393688389547695,-3.4176539922662275,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,correct,0,Lasso,0.6509407806749287,0.7315194391054289,0.9233120509354398,,0.5251202588781153,0.4535755604844497,0.002000093460083008,2.6609974455516787,-4.645655526719647,4.7393688389547695,-3.4176539922662275,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,correct,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
10,4,0.9,correct,0,ConstrainedRegression,0.6509407806749284,0.7315194391054369,0.9233120509354399,,0.525120258878116,0.45357556048445236,0.0060312747955322266,2.6609974455516694,-4.64565552671964,4.739368838954767,-3.4176539922662243,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
10,4,0.9,correct,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.9,correct,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
10,4,0.9,correct,0,ConstrainedElasticNetRegression,0.6509407813231068,0.7315348551700973,0.9233120507827148,,0.525098757323764,0.45357298775225896,1.34883451461792,2.6609652368774346,-4.645599300290362,4.739311478434259,-3.4176126267544458,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
20,4,0.0,none,0,OLS,0.8964789720927557,1.1828808201248098,0.9895650588757895,0.8986914599155595,0.18825640667734456,0.168375077714924,0.00753474235534668,3.0584594932351727,-4.964832185092507,4.048388595130384,-3.286328273760088,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
20,4,0.0,none,0,Ridge,0.8964789720927557,1.1828808201248098,0.9895650588757895,0.8986914599155595,0.18825640667734456,0.168375077714924,0.0039980411529541016,3.0584594932351727,-4.964832185092507,4.048388595130384,-3.286328273760088,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
20,4,0.0,none,0,Lasso,0.8964789720927557,1.1828808201248098,0.9895650588757895,0.8986914599155595,0.18825640667734456,0.168375077714924,0.007064104080200195,3.0584594932351727,-4.964832185092507,4.048388595130384,-3.286328273760088,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
20,4,0.0,none,0,ElasticNet,,,,,,,,,,,,,,,,name 'ElasticNet' is not defined,0.0,0
20,4,0.0,none,0,ConstrainedRegression,0.8964789720927553,1.1828808201248053,0.9895650588757895,0.8986914599155602,0.18825640667734608,0.168375077714926,0.007964849472045898,3.0584594932351705,-4.964832185092505,4.04838859513039,-3.2863282737600894,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
20,4,0.0,none,0,ConstrainedRidgeRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 0.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
20,4,0.0,none,0,ConstrainedLassoRegression,,,,,,,,,,,,,,,,"Parameter grid for parameter 'l1_ratio' needs to be a list or a numpy array, but got 1.0 (of type float) instead. Single values need to be wrapped in a list with one element.",0.0,0
20,4,0.0,none,0,ConstrainedElasticNetRegression,0.9006756715818708,1.184921146378028,0.9894671317269519,0.8983416685606482,0.16427040155463626,0.15457959493729057,0.9113316535949707,3.004277373641346,-4.920881650672378,4.009190217278713,-3.2601131353275283,3.094911326602161,-4.765760816438119,3.878855974194126,-3.0178837858580265,,1.0,0
