ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025,265.18201957622944,262.0427433800704,268.33235596764194,263.8168221655074,266.6586158140072,-0.00012914297515715978,-0.00012914297515715978,-0.00012914297515715978,-0.00012914297515715978,-0.00012914297515715978,-0.00012914297515715978,0.0,0.0,0.0,265.1818904332543
2026,269.91026818448347,266.25570779349664,273.56663586735226,267.613083951169,272.2860830461049,-0.00012076725731436784,-0.00012076725731436784,-0.00012076725731436784,-0.00012076725731436784,-0.00012076725731436784,-0.00012076725731436784,0.0,0.0,0.0,269.91014741722614
2027,274.6385167927375,270.270402787271,279.0158376820918,271.33400529221285,277.9897574430149,-0.00011112474689989889,-0.00011112474689989889,-0.00011112474689989889,-0.00011112474689989889,-0.00011112474689989889,-0.00011112474689989889,0.0,0.0,0.0,274.6384056679906
2028,279.37324245387947,274.07383683115773,284.66411391286874,274.9102957654025,283.9208420487885,0.0003600485449929142,0.0003600485449929142,0.0003600485449929142,0.0003600485449929142,0.0003600485449929142,0.0003600485449929142,0.0,0.0,0.0,279.3736025024245
2029,284.10796811502155,277.6676710794978,290.56591174422977,278.38515003595256,289.94367131273043,-0.00012914297516948935,-0.00012914297516948935,-0.00012914297516948935,-0.00012914297516948935,-0.00012914297516948935,-0.00012914297516948935,0.0,0.0,0.0,284.10783897204635
2030,288.8362167232755,281.1785818719537,296.5818660767077,281.7951927941457,296.21597066382515,-0.0001207672573362289,-0.0001207672573362289,-0.0001207672573362289,-0.0001207672573362289,-0.0001207672573362289,-0.0001207672573362289,0.0,0.0,0.0,288.8360959560182
2031,293.56446533152956,284.4618338903826,302.73430970396385,284.8293499725269,302.47320577614516,-0.00011112474689459895,-0.00011112474689459895,-0.00011112474689459895,-0.00011112474689459895,-0.00011112474689459895,-0.00011112474689459895,0.0,0.0,0.0,293.56435420678264
2032,298.2991909926715,287.60027611406394,308.9688635504337,287.90040167230507,308.5774963836754,0.00036004854500301285,0.00036004854500301285,0.00036004854500301285,0.00036004854500301285,0.00036004854500301285,0.00036004854500301285,0.0,0.0,0.0,298.29955104121655
2033,303.03391665381355,290.60186389560243,315.2603568463151,290.83208029886487,314.83052386511645,-0.00012914297516872353,-0.00012914297516872353,-0.00012914297516872353,-0.00012914297516872353,-0.00012914297516872353,-0.00012914297516872353,0.0,0.0,0.0,303.0337875108384
2034,307.7621652620676,293.4546933600417,321.673925677353,293.78383156123857,321.33758153229013,-0.00012076725731531808,-0.00012076725731531808,-0.00012076725731531808,-0.00012076725731531808,-0.00012076725731531808,-0.00012076725731531808,0.0,0.0,0.0,307.76204449481025
2035,312.49041387032156,296.2107116629153,328.14010104101914,296.360884114881,327.7533081032084,-0.00011112474689853518,-0.00011112474689853518,-0.00011112474689853518,-0.00011112474689853518,-0.00011112474689853518,-0.00011112474689853518,0.0,0.0,0.0,312.49030274557464
2036,317.22513953146364,298.8371531865538,334.6861488454557,298.7668532423214,334.3626416181598,0.00036004854500518537,0.00036004854500518537,0.00036004854500518537,0.00036004854500518537,0.00036004854500518537,0.00036004854500518537,0.0,0.0,0.0,317.2254995800086
2037,321.9598651926056,301.48985448233975,341.23859640200544,301.5274511772461,340.9971577108227,-0.00012914297516256848,-0.00012914297516256848,-0.00012914297516256848,-0.00012914297516256848,-0.00012914297516256848,-0.00012914297516256848,0.0,0.0,0.0,321.95973604963046
2038,326.68811380085964,304.1279142279951,347.8772410944866,304.40214996310783,347.6211551757988,-0.00012076725734636812,-0.00012076725734636812,-0.00012076725734636812,-0.00012076725734636812,-0.00012076725734636812,-0.00012076725734636812,0.0,0.0,0.0,326.68799303360225
2039,331.4163624091137,306.8204692495758,354.5119586441041,307.1020580471265,354.333233274736,-0.00011112474689876468,-0.00011112474689876468,-0.00011112474689876468,-0.00011112474689876468,-0.00011112474689876468,-0.00011112474689876468,0.0,0.0,0.0,331.41625128436675
2040,336.1510880702557,309.42830039323724,361.29469757317185,309.71597940709046,361.09986123181994,0.0003600485450028363,0.0003600485450028363,0.0003600485450028363,0.0003600485450028363,0.0003600485450028363,0.0003600485450028363,0.0,0.0,0.0,336.15144811880066
2041,340.88581373139766,311.92589007380184,368.20697491843214,312.1076300716261,368.0670351657244,-0.00012914297516380212,-0.00012914297516380212,-0.00012914297516380212,-0.00012914297516380212,-0.00012914297516380212,-0.00012914297516380212,0.0,0.0,0.0,340.8856845884225
2042,345.61406233965164,314.26342007595014,375.10504879320604,314.4629644165876,374.92099441607564,-0.00012076725732432365,-0.00012076725732432365,-0.00012076725732432365,-0.00012076725732432365,-0.00012076725732432365,-0.00012076725732432365,0.0,0.0,0.0,345.61394157239437
2043,350.3423109479057,316.40354181820726,381.9147262262437,316.4183770001264,381.80361467370403,-0.0001111247468869613,-0.0001111247468869613,-0.0001111247468869613,-0.0001111247468869613,-0.0001111247468869613,-0.0001111247468869613,0.0,0.0,0.0,350.34219982315875
2044,355.0770366090477,318.5241835298655,388.84835713358353,318.7483760759378,388.5069061932037,0.00036004854500563217,0.00036004854500563217,0.00036004854500563217,0.00036004854500563217,0.00036004854500563217,0.00036004854500563217,0.0,0.0,0.0,355.0773966575927
2045,359.8117622701897,320.6488984580903,395.9287403063308,321.0964717792341,395.2710197593896,-0.00012914297516401915,-0.00012914297516401915,-0.00012914297516401915,-0.00012914297516401915,-0.00012914297516401915,-0.00012914297516401915,0.0,0.0,0.0,359.8116331272145
2046,364.5400108784437,322.80170940914473,403.09951788921967,322.7957140872024,402.47736935504173,-0.00012076725730630443,-0.00012076725730630443,-0.00012076725730630443,-0.00012076725730630443,-0.00012076725730630443,-0.00012076725730630443,0.0,0.0,0.0,364.5398901111864
2047,369.26825948669773,324.8149497636278,410.5675072917745,325.0059315859344,410.15393075451743,-0.0001111247468925377,-0.0001111247468925377,-0.0001111247468925377,-0.0001111247468925377,-0.0001111247468925377,-0.0001111247468925377,0.0,0.0,0.0,369.2681483619508
2048,374.0029851478397,326.84076193759944,418.4144588306457,327.36931876337553,418.0344183050088,0.0003600485450035086,0.0003600485450035086,0.0003600485450035086,0.0003600485450035086,0.0003600485450035086,0.0003600485450035086,0.0,0.0,0.0,374.0033451963847
2049,378.7377108089818,328.49858150195814,426.26011334439903,328.6145310962686,426.1992450762341,-0.0001291429751548884,-0.0001291429751548884,-0.0001291429751548884,-0.0001291429751548884,-0.0001291429751548884,-0.0001291429751548884,0.0,0.0,0.0,378.7375816660066
2050,383.46595941723575,330.00363710911284,434.1201898463112,329.8712521859694,434.2750536451287,-0.00012076725732599058,-0.00012076725732599058,-0.00012076725732599058,-0.00012076725732599058,-0.00012076725732599058,-0.00012076725732599058,0.0,0.0,0.0,383.4658386499784
2051,388.1942080254898,331.5465531859657,441.788888370967,331.47395119590124,441.9292269433008,-0.00011112474688767549,-0.00011112474688767549,-0.00011112474688767549,-0.00011112474688767549,-0.00011112474688767549,-0.00011112474688767549,0.0,0.0,0.0,388.19409690074286
2052,392.0933938640773,332.7788825693448,448.1925589106818,332.09499248819196,448.02278296800915,0.03681039131431154,0.03681039131431154,0.03681039131431154,0.03681039131431154,0.03681039131431154,0.03681039131431154,0.0,0.0,0.0,392.1302042553916
